M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999957	2.81	2.81	2.81	2.80999999745233	173.952184291277	2.81	2.81	2.81	2.81	2.80999999999989	204.071241698598
2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	178.773605617621	2.81	2.81	2.81	2.80999999999866	2.81	210.052226087102
116.18875230151	2.81	2.81	251.936711187612	2.81	2.81000000001403	2.81	2.81	2.80999999999957	2.81	2.81000000000017	2.81	2.80999999745233	2.81	195.236186057691	2.81	2.81	2.81	2.81	2.81
2.81	2.81	2.81	2.81	2.81	2.81000000001403	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	192.246996105821	2.81	2.81	2.80999999999979	2.81	2.81
2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999866	125.727989425974	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999944	2.81	2.81
2.81	2.81	146.568884912461	2.81	2.81	2.81	2.81	2.81	2.81	2.81	187.603350729886	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999865	2.81	2.81
2.81	2.81	2.81	248.179874642998	2.81	2.81000000001403	2.81	2.81	2.80999999999957	2.81	187.603350729886	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.80999999999797	2.81	2.81
2.81	2.81	2.81	251.936711187612	2.81	2.81	2.81	2.81	2.80999999999957	2.81	2.81	70.3596961224387	2.8099999999975	2.81	2.81	2.81	2.81	2.80999999999844	2.81	2.81
2.81	2.81	2.81	2.8100000000302	2.81	2.81000000001403	165.467203715163	2.81	2.80999999999957	2.81	2.80999999999859	76.3221196804942	2.8099999999975	2.81	2.8099999999975	154.299492694508	2.81	2.80999999999957	2.81	210.052226087102
2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999957	2.81	172.149825590537	2.81	99.6810867944461	2.81	2.81	2.81	2.81	2.80999999999866	2.81	2.81
2.81	2.81	2.81	2.81	2.81	2.81	2.81	201.084077336201	2.80999999999787	2.81	187.603350729886	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999866	2.81	210.052226087102
2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81000000000139	125.727989425974	2.81	2.81	2.81	2.81	2.81	2.81	161.919326826419	2.80999999999831	2.81	2.81
2.81	2.81	2.81	2.81	2.81	2.80999999999787	165.467203715163	2.81	2.81	2.81	2.81	76.3221196804942	2.81	173.952184291277	2.81	2.81	2.81	2.81	2.81	210.052226087102
2.81	2.81	146.568884912461	2.81	2.81	2.81	2.81	2.81	2.80999999999866	2.81	187.603350729886	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999797	2.81	2.81
2.81	2.81	2.81	2.81	2.81	2.81	2.81	218.831852892948	2.80999999999932	2.81	2.80999999999904	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999957	2.81	2.81
116.18875230151	2.81	2.81	251.936711187612	2.81	2.81000000001403	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81
2.80999999999926	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999948	2.81	2.81	2.81	2.81	2.81000000002219	161.900800888652	2.81	2.81	2.81
2.81	2.81	2.81	2.81	2.81	122.684817549839	2.80999999999787	2.81	2.81	2.81	2.80999999999904	70.3596961224387	2.8099999999975	2.81	2.81	2.81	2.81	2.80999999999957	2.81	2.81
2.81000000002219	2.81	2.81	232.2384675238	180.51499396624	2.81000000001403	2.81	2.81	178.185467511035	2.81	2.81	2.81	2.81	173.952184291277	2.81	2.81	2.81	2.80999999999905	98.8845078296479	2.8099999999975
2.81	2.81	2.81	2.81	180.51796780104	2.81	2.81	2.81	2.80999999999866	2.81	2.80999999999859	2.81	2.80999999955806	173.952184291277	2.81	2.81	2.81	2.80999999999865	2.81	204.071241698598
2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999933	2.81	2.80999999999813	2.81	2.81	2.81	2.81	2.80999999999787	161.919326826419	2.8099999999975	2.81	204.071241698598
2.81	2.81	2.81	248.179874642997	2.81	2.81	2.81	2.81	2.81	2.81	174.867257672239	2.81	2.80999999998671	2.81	2.81	186.128694045746	2.81	2.80999999999865	2.81	2.81
2.81	2.81	2.81	2.81	216.59282264349	2.81000000001403	2.81	201.084077336201	2.80999999999957	107.973713994882	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81
2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999119	218.831852892948	2.80999999999912	2.81	172.149825590536	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.80999999999844	98.8845078296479	210.052226087102
2.81	2.81	2.81	2.81	2.81	110.980419284082	2.81	2.81	2.81	2.81	2.80999999999904	2.81	2.81	173.952184291277	2.81	2.81	2.81	2.81	101.566132254784	2.81
2.81	2.81	2.81	2.81	2.8099999999975	2.81	167.930179658141	2.81	2.80999999999912	2.81	2.81	2.81	2.81	2.81	2.81	172.600946939836	2.81	2.81	2.81	2.81
2.81	2.81	2.81	2.81	2.81	2.81	2.81	218.831852892948	2.80999999999912	2.81	2.80999999999904	70.3596961224385	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81
2.81	2.80999999999787	2.81	251.936711187612	2.81	2.81	2.81	2.81	2.81	107.973713994882	2.81	2.81	2.81	2.81	2.81	2.81	161.919326826418	2.8099999999975	2.81	2.8099999999975
2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	172.149825590537	2.81	2.81	178.773605617621	2.81	172.044627575865	2.81	2.80999999999944	2.81	2.81
2.81	2.81	170.665756498082	2.81	2.81	2.81	2.81	2.81	2.80999999999957	2.81	174.867257672239	2.81	2.80999999998671	2.81	195.236186057691	2.81	2.81	2.80999999999955	2.81	2.81
2.81	245.495662251097	2.81	2.8100000000302	2.81	2.81000000001403	2.81	2.81	2.81	2.81	2.80999999999904	76.3221196804942	2.81	173.952184291277	2.81	2.81	2.81	2.80999999999797	2.80999999999787	2.81
2.81	2.81	2.81	2.81	216.59282264349	2.81	2.81	201.084077336201	2.81	2.81	2.80999999999995	2.81	2.80999999745233	2.81	2.81	2.81	2.81	2.80999999999912	2.81	2.8099999999975
2.81	2.81	2.81	2.81	197.860229003581	2.81	2.81	2.81	2.80999999999912	2.81	2.8099999999995	2.81	2.8099999999975	178.773605617621	2.81	2.81	2.81	2.80999999999865	2.81	2.81
2.81	2.81	146.568884912461	2.81	2.81	2.81	2.81	2.81	2.80999999999957	2.81	187.603350729886	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.80999999999797	2.81	2.81
