M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24	M_25	M_26	M_27	M_28	M_29	M_30	M_31	M_32	M_33	M_34	M_35	M_36	M_37	M_38	M_39	M_40	M_41	M_42	M_43	M_44	M_45	M_46	M_47	M_48	M_49	M_50	M_51	M_52	M_53	M_54	M_55	M_56	M_57	M_58	M_59	M_60	M_61	M_62	M_63	M_64	M_65	M_66	M_67	M_68	M_69	M_70	M_71	M_72	M_73	M_74	M_75	M_76	M_77	M_78	M_79	M_80	M_81	M_82	M_83	M_84	M_85	M_86	M_87	M_88	M_89	M_90	M_91	M_92	M_93	M_94	M_95	M_96	M_97	M_98	M_99	M_100	M_101	M_102	M_103	M_104	M_105	M_106	M_107	M_108	M_109	M_110	M_111	M_112	M_113	M_114	M_115
75	68	55	72	56	67	67	64	91	86	81	69	78	66	73	70	82	90	87	64	67	68	81	61	58	63	70	69	61	73	95	74	57	74	63	69	68	63	83	67	61	72	70	65	73	56	87	84	66	92	70	71	67	67	72	59	70	76	75	76	72	66	72	71	76	78	65	77	63	68	64	63	71	60	81	66	66	76	68	57	71	57	52	71	68	71	78	53	80	65	60	61	74	64	55	63	66	85	78	76	74	62	103	116	115	96	82	74	72	73	86	56	74	86	79
80	68	55	72	56	67	67	64	91	86	81	75	80	66	72	86	79	89	87	56	66	68	81	61	58	63	66	69	61	71	95	74	57	75	61	68	65	63	83	67	60	75	70	65	73	56	87	84	65	89	70	69	67	67	72	59	66	73	71	76	73	66	72	71	74	79	65	78	63	68	67	63	72	60	77	66	66	77	68	57	71	61	48	73	68	71	78	53	80	65	57	62	74	60	54	65	69	87	80	76	73	61	105	116	115	95	77	74	72	73	82	56	73	86	80
78	71	55	72	56	62	67	64	86	84	81	75	78	66	73	86	82	91	87	67	66	68	81	59	58	63	70	69	61	70	95	74	57	70	64	66	68	63	83	70	58	72	70	65	73	56	87	84	62	89	70	71	67	67	72	59	70	71	71	76	73	64	72	71	70	79	65	78	63	68	64	63	72	60	81	66	64	76	68	57	71	61	49	71	67	71	78	56	80	65	46	67	74	63	53	65	62	87	80	76	74	62	105	116	113	95	73	73	75	68	86	56	73	88	79
77	70	55	72	56	67	67	57	91	86	81	75	80	67	73	86	78	91	87	62	66	68	79	61	58	63	70	69	61	73	95	74	57	74	61	69	68	63	83	67	57	72	68	65	73	57	87	84	62	89	70	69	67	67	72	59	66	71	75	80	73	66	72	71	74	79	65	80	63	68	67	63	72	60	81	66	66	83	68	57	70	57	50	73	68	71	78	54	80	65	60	61	74	64	55	65	69	85	76	76	74	61	103	118	115	95	77	73	75	71	82	56	72	88	79
80	68	55	72	56	62	67	64	91	86	81	75	80	67	67	86	82	89	87	67	66	63	81	63	58	63	71	69	61	70	95	74	55	75	63	72	68	63	83	67	61	71	70	66	76	56	87	84	62	89	70	70	67	67	72	59	70	71	71	76	72	66	72	71	74	79	65	80	64	68	67	63	71	60	81	66	66	77	68	57	71	59	50	73	68	71	80	53	80	65	60	62	74	67	55	65	69	85	80	82	73	62	103	118	112	95	77	73	75	71	82	56	74	86	80
73	70	55	72	56	67	72	64	91	86	81	75	80	67	72	86	79	89	87	64	67	68	81	63	58	65	71	69	56	73	95	74	57	75	63	69	68	63	84	67	58	72	70	66	73	57	87	84	62	89	70	71	67	67	72	59	66	71	75	76	73	66	72	71	74	78	65	79	63	68	67	63	72	58	81	66	63	77	68	57	71	57	46	69	64	71	79	56	80	65	56	62	74	67	55	64	65	85	80	76	73	61	103	116	115	96	77	74	72	73	86	56	73	88	79
75	68	55	72	54	69	67	64	91	86	81	75	78	66	73	86	84	89	87	67	67	68	81	61	58	56	70	70	61	73	87	74	55	74	63	68	68	63	83	69	59	75	70	66	73	57	87	84	65	89	60	69	67	67	71	59	66	71	75	76	73	78	72	71	74	79	65	78	64	68	67	61	71	60	81	66	66	77	68	57	70	57	46	70	68	71	79	56	80	65	60	59	74	65	55	62	66	85	76	76	73	61	103	116	114	95	77	74	72	71	86	56	72	88	79
78	68	52	70	56	62	72	64	91	84	76	75	80	67	73	86	79	90	87	64	67	68	79	63	56	63	69	65	58	73	95	74	47	74	63	68	68	63	83	67	57	72	70	65	73	56	84	85	60	89	70	70	67	63	71	59	64	71	71	76	73	66	72	71	74	79	65	77	64	69	67	61	72	60	81	66	63	77	68	57	71	61	48	72	68	66	79	56	80	65	56	62	67	64	55	65	69	84	80	76	73	64	105	116	116	96	77	74	72	73	83	56	72	88	79
78	68	55	72	56	67	67	64	91	86	81	75	78	66	72	86	79	90	87	67	67	68	81	63	58	63	71	69	61	75	95	74	57	74	69	69	68	63	83	69	59	72	70	66	73	54	87	84	65	89	70	71	67	67	72	59	66	71	71	74	69	66	72	71	74	79	65	80	63	68	67	61	72	60	78	66	66	77	68	57	71	61	48	72	68	71	79	52	80	65	60	61	74	65	55	65	69	87	80	76	74	61	105	116	116	96	77	73	75	73	86	56	73	86	79
78	68	55	72	57	63	72	64	91	86	76	75	78	66	73	86	79	91	87	64	66	68	81	65	58	63	66	69	60	73	95	74	57	74	66	67	68	63	84	67	57	71	70	66	73	55	87	84	65	89	70	71	67	67	72	59	66	71	71	76	73	66	72	71	74	79	65	80	64	69	68	63	71	58	81	66	63	77	68	57	70	61	46	73	68	71	79	56	80	65	59	62	74	64	55	65	69	85	73	76	73	62	103	118	116	95	77	74	75	73	86	56	72	86	80
68	70	55	70	56	62	69	64	91	84	81	75	78	66	72	86	82	91	87	67	67	68	80	61	58	63	71	69	61	73	95	74	57	75	63	68	68	63	81	70	58	72	70	66	73	56	87	84	65	89	70	70	67	67	71	59	66	71	73	76	73	66	72	71	74	79	65	80	64	68	67	63	72	60	75	66	66	76	68	57	71	57	48	73	68	71	79	53	80	65	60	61	74	64	50	65	69	85	80	76	73	61	103	116	116	95	77	74	72	73	86	56	73	88	79
75	68	55	72	56	62	67	64	91	84	81	75	78	66	73	86	79	90	87	64	67	68	81	62	58	56	70	69	60	73	88	74	47	74	60	69	68	58	83	67	57	72	70	63	73	56	87	84	65	89	70	69	67	67	71	59	66	71	71	76	72	66	72	71	74	79	65	80	63	68	67	63	72	60	81	66	63	76	68	57	71	57	48	69	68	71	78	53	80	65	59	61	74	66	55	64	64	85	80	76	74	61	103	116	112	95	73	73	72	73	86	56	73	88	79
78	70	55	73	56	62	69	64	91	86	76	75	80	67	72	86	79	91	87	67	67	68	81	62	58	63	70	69	61	71	89	74	52	74	63	68	68	63	83	69	61	73	59	65	76	56	87	84	65	89	70	70	67	67	72	56	66	71	71	77	73	66	72	68	74	78	65	77	63	63	67	61	71	60	81	66	63	76	68	57	71	57	50	72	68	71	78	52	80	65	59	58	74	65	54	65	69	85	76	76	73	61	105	118	116	95	77	74	75	71	83	56	73	86	79
74	68	55	72	56	62	67	64	91	86	81	75	80	66	73	78	79	89	87	64	66	68	79	61	58	63	60	69	60	73	95	74	57	74	66	67	68	63	83	69	57	73	70	65	73	55	87	84	66	89	70	71	67	67	72	59	70	71	75	76	72	66	72	71	74	79	65	77	63	68	67	63	72	60	81	66	66	77	55	57	71	57	46	69	68	71	78	55	77	65	56	61	74	64	54	65	66	87	80	76	73	61	103	116	116	95	77	73	75	71	86	56	72	86	79
74	68	55	72	55	62	67	64	91	86	81	75	78	66	72	86	79	90	87	64	67	65	81	63	58	63	71	69	61	73	88	74	57	74	66	72	68	63	83	67	57	70	70	66	76	57	87	84	65	89	70	71	67	67	72	59	66	71	71	76	73	66	72	71	74	79	65	80	63	67	67	63	71	60	81	66	66	77	67	57	71	61	48	73	68	71	78	56	80	65	60	61	74	67	54	65	69	85	80	76	73	61	103	116	116	95	77	74	75	71	86	56	73	86	80
78	70	55	73	57	62	67	64	91	84	81	69	78	66	73	86	84	89	87	67	64	68	81	61	58	56	71	67	60	73	88	74	57	74	63	69	68	63	83	67	57	72	70	65	73	56	87	84	66	89	70	71	67	67	72	59	70	71	75	76	72	66	72	71	74	79	65	80	63	65	67	63	72	60	81	66	66	79	68	57	71	57	46	70	68	71	79	52	80	65	60	61	74	65	54	65	62	85	76	76	73	61	103	116	115	95	77	73	75	73	82	56	72	88	79
78	71	55	72	57	62	69	64	91	84	81	75	78	66	73	86	79	90	87	64	67	68	81	63	58	59	69	69	60	73	95	74	54	74	63	67	68	63	82	70	58	72	70	65	73	56	87	84	62	89	70	68	67	67	71	59	70	71	75	76	73	66	72	71	74	79	65	80	64	68	62	59	71	60	81	66	66	77	68	57	71	57	46	68	68	71	78	54	80	65	60	61	74	66	55	65	62	85	78	76	73	62	103	116	116	96	77	73	72	67	82	56	73	86	79
81	70	55	73	55	67	69	64	91	86	81	75	78	67	73	86	82	89	87	67	67	68	81	63	58	56	69	69	61	73	88	74	55	75	69	70	68	60	84	71	58	73	70	65	76	58	87	84	66	89	70	69	67	63	71	59	66	71	75	76	73	66	72	71	80	79	65	80	63	68	67	61	72	60	79	66	66	77	68	57	71	57	48	70	68	71	80	53	80	65	60	61	74	66	39	61	69	85	78	76	74	61	105	116	115	95	77	74	75	71	97	56	72	86	79
73	68	55	72	54	62	67	64	91	86	81	75	78	66	73	86	84	81	87	67	67	68	79	62	58	59	69	69	60	73	95	74	57	74	61	67	68	59	83	69	55	73	70	65	73	56	87	84	66	89	70	70	67	67	72	59	66	71	75	77	73	66	72	71	74	79	65	80	63	68	67	63	71	60	81	66	63	74	68	57	71	57	48	73	68	71	77	56	80	65	62	61	74	64	55	65	69	85	76	76	74	61	103	116	115	96	77	70	75	73	82	56	72	86	79
73	67	56	72	54	62	72	64	91	86	81	75	81	67	73	86	82	89	87	64	66	68	81	63	58	56	71	69	60	73	95	74	57	65	63	69	68	63	83	70	61	72	70	66	76	57	87	84	65	89	69	71	67	67	72	59	70	71	75	76	73	66	72	71	74	79	65	80	63	68	68	61	71	60	81	66	66	79	68	57	71	61	46	73	68	71	78	52	80	65	60	61	74	66	55	65	65	87	80	73	73	61	105	116	116	95	77	73	72	71	86	56	73	88	79
78	71	55	72	56	62	67	64	89	84	76	75	78	67	72	86	82	91	87	59	67	65	81	61	58	63	71	69	60	73	95	74	57	74	63	68	68	63	83	69	63	73	70	63	73	56	87	82	65	89	70	71	66	67	72	59	70	71	67	76	72	66	72	71	74	79	65	80	64	68	67	63	71	60	81	66	66	77	68	57	71	57	48	67	67	71	78	58	80	65	62	62	74	65	55	65	69	87	80	76	73	61	105	118	116	95	77	73	75	73	82	56	72	88	79
78	68	55	73	56	62	67	64	91	84	76	75	78	66	73	86	84	99	87	64	66	68	79	61	58	51	71	68	53	73	95	74	55	75	63	72	68	63	81	67	57	75	70	66	73	56	87	84	66	89	70	71	67	67	71	59	69	71	71	76	72	66	72	71	74	79	65	77	64	68	67	63	71	60	81	66	63	74	68	57	71	59	48	71	68	71	79	55	80	65	60	61	74	64	53	66	69	85	78	76	73	62	103	118	116	95	77	74	72	73	86	56	72	88	79
80	68	55	72	56	62	72	64	91	84	81	75	78	66	81	86	79	101	87	60	66	68	81	63	58	63	70	70	61	70	95	74	50	75	60	71	68	62	83	67	57	75	70	65	73	56	87	84	66	89	70	70	67	66	76	65	70	71	71	76	81	66	73	71	74	79	65	80	63	68	67	61	72	60	81	66	63	77	68	57	71	61	48	72	68	71	79	64	80	65	56	62	74	66	53	70	69	87	78	77	74	61	110	113	116	95	85	74	75	73	86	56	74	86	79
78	68	55	72	56	62	72	64	91	86	81	75	78	66	73	86	82	89	87	64	67	68	81	63	58	63	70	61	60	70	95	74	55	74	66	68	68	63	82	67	63	75	70	65	73	55	87	84	62	89	70	71	66	63	72	59	66	71	75	76	73	66	72	71	75	79	65	76	63	67	67	61	72	60	81	66	76	77	68	55	71	57	48	73	68	71	78	53	80	65	60	62	74	64	55	64	69	99	80	77	73	61	103	109	116	95	77	73	75	73	82	56	73	88	79
75	70	55	72	55	62	72	64	91	84	81	75	80	67	73	77	84	89	87	67	67	68	81	63	58	65	70	69	60	71	95	74	57	74	63	67	67	63	83	67	58	72	70	65	73	56	87	84	65	89	70	68	67	67	72	59	64	71	71	76	72	66	72	71	74	78	65	78	63	68	64	61	71	60	81	66	63	77	68	57	71	61	50	72	68	71	79	55	77	65	56	62	74	65	55	62	66	85	80	76	73	61	103	113	115	95	77	74	72	71	86	56	73	86	79
78	68	55	69	56	62	67	64	91	86	76	75	80	66	72	86	82	89	87	64	66	68	81	62	57	62	69	69	60	72	88	74	50	75	63	69	68	61	83	67	61	72	70	63	71	51	87	84	62	89	70	68	67	67	71	59	70	71	74	76	73	66	68	71	74	78	65	80	63	68	67	63	72	60	81	66	66	76	68	51	71	57	46	71	68	71	79	52	80	65	56	62	69	64	55	65	69	87	80	76	73	62	105	116	112	95	77	73	72	73	82	56	71	88	79
80	70	55	72	57	62	72	64	91	86	81	75	78	64	72	86	82	89	87	64	67	68	81	63	58	63	70	69	61	71	95	74	53	74	63	67	68	63	83	70	58	69	70	66	75	52	87	84	66	89	76	71	67	67	72	59	70	71	75	76	72	66	72	71	74	79	65	77	57	65	67	63	71	60	81	66	66	74	68	57	71	61	48	73	68	71	78	55	80	65	60	61	74	64	54	65	69	85	80	76	73	61	105	115	113	95	77	73	72	73	86	56	76	86	79
75	70	53	71	54	62	72	63	91	84	81	75	78	66	73	86	82	89	87	63	66	68	81	63	58	63	70	69	60	75	95	74	56	75	66	68	68	63	77	70	60	75	70	66	73	56	87	84	66	89	70	69	67	67	71	59	66	71	71	76	67	66	72	71	74	79	65	80	63	68	63	63	71	60	81	66	66	77	68	57	71	57	46	67	68	71	79	53	80	64	60	62	74	66	55	65	66	87	76	76	74	61	103	116	115	96	77	74	75	71	86	56	73	86	72
78	70	56	72	54	67	72	65	91	86	81	75	78	67	73	78	82	91	87	64	67	68	81	63	58	63	70	61	61	73	95	74	54	75	63	69	68	63	81	69	57	73	70	66	73	57	87	84	65	89	70	71	67	63	72	59	69	71	71	76	72	65	72	71	74	79	65	80	63	68	67	63	71	60	81	66	66	75	68	57	71	61	48	73	68	71	79	53	80	65	56	62	74	64	54	62	69	85	80	76	74	62	103	118	116	95	74	74	75	73	86	56	73	86	80
78	70	55	73	57	67	67	64	91	86	76	75	78	66	73	86	82	89	87	67	67	68	79	61	58	63	71	68	60	72	95	74	57	70	69	67	68	63	83	67	61	72	70	66	75	55	87	84	66	89	70	71	67	63	72	59	66	71	71	76	73	66	72	71	74	79	65	77	60	68	67	63	72	60	81	66	63	77	68	55	71	57	45	71	68	71	78	53	80	65	60	62	74	65	49	66	69	87	78	76	73	61	105	118	116	95	77	73	72	73	86	56	74	79	79
78	68	55	72	56	62	72	64	91	86	81	75	80	66	70	86	79	89	87	62	67	68	79	63	58	63	70	66	61	70	95	74	57	74	63	69	68	63	83	70	60	75	70	65	69	57	87	84	66	89	70	71	67	67	72	59	66	71	72	76	72	66	72	71	74	78	65	77	62	68	69	61	67	60	81	66	63	77	68	55	70	55	46	72	68	71	79	52	80	63	58	61	74	64	55	65	69	85	78	76	73	62	103	116	116	96	73	73	75	68	83	56	73	86	79
80	66	55	73	55	62	75	64	91	84	76	75	78	67	73	86	84	91	87	61	66	68	81	61	58	56	71	69	60	73	99	74	57	74	61	69	68	63	81	70	58	72	70	66	76	56	87	84	65	89	69	73	67	62	72	59	64	71	75	76	73	66	72	71	74	78	65	81	63	67	68	63	72	60	81	66	63	76	68	57	71	61	48	69	68	71	79	56	80	65	59	61	69	65	55	62	64	87	78	76	74	62	103	116	115	95	77	74	75	73	83	56	72	86	79
68	68	55	71	56	67	67	64	91	86	81	75	78	66	73	86	84	91	87	67	66	68	81	61	58	63	71	69	60	73	95	74	57	74	63	67	68	63	83	67	61	75	70	66	76	56	87	81	62	89	70	69	66	66	72	59	66	71	71	76	73	66	72	71	74	79	65	77	64	68	66	61	72	60	81	66	66	77	68	57	70	61	50	73	68	71	78	56	80	65	53	64	74	65	49	65	69	87	75	76	74	61	103	116	115	95	77	74	72	73	82	56	72	88	79
